Date,Machine_ID,Product_Type,Shift,Operator_Experience_Years,Temperature_C,Humidity_Percent,Production_Units,Defective_Units,Downtime_Minutes,Cycle_Time_Minutes,Energy_Consumption_kWh,Raw_Material_Cost_USD
2025-01-07,M4,Product_B,Morning,8.3,29.1,45.5,509.0,1,52.8,6.1,193.7,2267.69
2025-01-08,M3,Product_C,Evening,11.5,36.3,45.1,433.0,1,22.5,5.1,116.7,2569.34
2025-01-08,M4,Product_A,Evening,5.3,23.2,61.3,483.0,3,26.1,5.78,196.6,1486.99
2025-01-08,M1,Product_A,Night,4.3,33.8,33.9,414.0,1,1.1,5.46,191.8,1339.01
2025-01-08,M5,Product_A,Morning,8.0,36.4,49.0,463.0,1,1.8,6.46,202.8,1613.9
2025-01-08,M4,Product_B,,7.8,27.3,56.7,461.0,8,12.5,5.2,160.2,2163.96
2025-01-09,M2,Product_C,Night,8.7,39.7,44.2,433.0,3,2.4,6.5,208.7,2505.35
2025-01-09,M4,Product_B,Night,8.8,39.7,66.8,466.0,19,6.4,4.97,225.4,1952.89
2025-01-09,M2,Product_A,Morning,11.8,25.7,56.9,447.0,1,12.3,5.02,187.4,1455.91
2025-01-10,M5,Product_A,Morning,2.6,29.2,55.1,484.0,9,50.9,6.22,215.4,1712.85
2025-01-11,M5,Product_C,Morning,12.8,29.9,50.4,469.0,1,15.6,5.53,191.4,2621.48
2025-01-12,M2,Product_A,Morning,5.0,32.8,41.1,457.0,1,34.0,6.1,182.9,1518.93
2025-01-12,M2,Product_B,Morning,4.6,27.6,44.8,488.0,2,13.2,6.34,192.7,1841.08
2025-01-12,M4,Product_A,Evening,,38.1,55.8,438.0,10,10.6,6.45,199.0,1156.01
2025-01-12,M4,Product_A,Evening,7.9,36.1,59.2,395.0,9,2.9,5.63,155.6,1228.31
2025-01-13,M3,Product_B,Morning,6.8,31.8,21.6,484.0,1,0.0,5.76,251.1,2292.05
2025-01-13,M5,Product_A,Morning,10.1,32.0,62.0,485.0,4,27.6,5.85,175.3,1347.43
2025-01-13,M5,Product_C,Night,1.9,25.5,57.5,439.0,4,26.4,5.74,153.0,2579.41
2025-01-14,M1,Product_C,Morning,10.3,27.6,49.3,520.0,1,20.5,6.24,238.3,3237.4
2025-01-14,M4,Product_C,Morning,9.3,,45.9,515.0,1,40.6,5.88,191.8,2819.12
2025-01-15,M1,Product_C,Morning,11.3,30.3,48.7,427.0,4,0.0,5.05,140.9,2353.45
2025-01-15,M2,Product_B,Evening,4.7,35.9,56.3,453.0,11,0.0,5.68,141.8,2189.91
2025-01-15,M2,Product_A,Morning,2.3,35.0,62.0,469.0,9,9.5,6.17,136.0,1336.24
2025-01-15,M1,Product_A,Evening,12.0,38.1,59.8,452.0,7,42.1,5.25,174.1,1342.75
2025-01-15,M3,Product_B,Morning,1.7,29.8,34.8,455.0,1,16.7,5.76,179.0,2178.64
2025-01-15,M5,Product_B,Night,4.3,31.1,65.1,405.0,7,5.0,5.88,109.8,1835.49
2025-01-16,M5,Product_B,Morning,7.9,41.9,62.3,505.0,11,13.4,5.28,206.3,2257.07
2025-01-16,M5,Product_C,Morning,5.5,,54.2,457.0,5,35.4,5.95,172.1,2601.03
2025-01-17,M5,Product_B,Morning,9.5,34.4,44.1,495.0,1,0.0,5.26,296.7,2279.07
2025-01-17,M4,Product_B,,3.9,37.3,58.8,416.0,5,67.1,7.14,208.4,1769.85
2025-01-18,M1,Product_A,Night,5.6,,36.9,462.0,4,21.3,6.18,211.4,1220.82
2025-01-18,M4,Product_B,Morning,4.5,29.4,66.0,454.0,7,13.1,6.05,228.8,2076.23
2025-01-19,M2,Product_A,Night,0.0,36.3,67.7,426.0,14,17.4,6.03,205.0,1291.62
2025-01-20,M2,Product_A,Morning,11.6,29.6,65.9,497.0,6,30.1,5.62,239.1,1684.85
2025-01-21,M4,Product_B,Morning,4.4,32.9,48.5,454.0,9,9.8,5.94,170.8,2160.88
2025-01-21,M3,Product_C,Morning,,,35.6,486.0,1,21.1,5.6,167.0,2681.92
2025-01-21,M3,Product_B,Evening,10.5,36.7,47.7,513.0,2,33.9,5.53,212.1,2449.31
2025-01-21,M5,Product_B,Evening,9.2,38.8,43.3,,6,13.4,5.87,212.0,2362.72
2025-01-21,M3,Product_A,Evening,7.8,34.5,52.6,463.0,5,18.0,4.73,230.9,1500.87
2025-01-21,M2,Product_A,Evening,8.2,23.8,73.8,466.0,5,2.6,6.5,200.1,1384.54
2025-01-22,M5,Product_A,Night,1.9,39.5,53.9,405.0,13,13.7,7.52,140.0,1382.5
2025-01-22,M3,Product_A,Morning,7.7,42.9,63.4,473.0,12,0.0,6.17,153.4,1645.37
2025-01-22,M3,Product_B,Evening,4.8,33.0,52.0,450.0,4,8.3,6.52,167.5,2178.37
2025-01-23,M2,Product_C,Evening,12.3,,51.4,460.0,3,9.6,5.61,170.8,2991.58
2025-01-23,M3,Product_A,Evening,6.1,38.2,57.0,470.0,13,73.2,6.52,222.0,1459.18
2025-01-24,M4,Product_B,Evening,7.1,32.3,57.7,416.0,8,28.6,6.16,183.4,1858.05
2025-01-24,M3,Product_C,Night,3.4,28.2,62.8,417.0,8,9.9,6.71,175.3,2539.0
2025-01-24,M1,Product_A,Night,10.0,23.8,50.1,,1,0.0,5.93,194.4,1462.97
2025-01-24,M5,Product_A,,6.0,31.4,67.4,495.0,15,6.4,6.48,223.6,1729.06
2025-01-24,M1,Product_A,Night,9.6,,66.5,,11,0.0,5.42,164.0,1354.37
2025-01-25,M1,Product_B,Morning,,33.2,47.5,471.0,2,22.3,6.96,220.6,2032.38
2025-01-26,M2,Product_B,Night,3.6,37.7,55.4,397.0,11,29.0,5.53,135.7,1927.84
2025-01-27,M4,Product_A,Morning,,29.2,41.4,462.0,2,45.9,6.62,221.0,1553.52
2025-01-27,M3,Product_C,Evening,6.3,37.2,57.0,470.0,8,1.0,6.02,245.9,2734.91
2025-01-27,M5,Product_A,Morning,4.6,30.5,57.9,437.0,7,25.6,5.46,133.0,1355.66
2025-01-27,M4,Product_C,Evening,4.4,28.2,56.6,413.0,6,25.3,6.61,136.1,2646.04
2025-01-28,M3,Product_A,Night,8.1,36.3,65.0,382.0,6,37.5,5.89,139.6,1412.78
2025-01-28,M2,Product_C,Morning,0.0,31.8,38.9,461.0,7,21.0,5.9,186.3,3103.62
2025-01-28,M3,Product_B,Morning,11.6,36.8,65.8,452.0,11,41.5,5.67,174.6,2212.72
2025-01-28,M2,Product_C,Night,8.6,35.7,34.9,432.0,1,26.7,6.01,198.6,2513.9
2025-01-28,M3,Product_A,Morning,2.7,38.7,52.9,470.0,12,48.6,6.85,196.2,1562.22
2025-01-29,M2,Product_A,Night,1.2,40.6,62.4,421.0,14,28.5,6.09,190.7,1178.17
2025-01-29,M1,Product_B,Evening,5.1,33.6,45.1,470.0,1,30.2,5.45,166.6,2123.08
2025-01-29,M2,Product_A,Evening,9.3,,64.5,493.0,10,13.5,5.84,188.6,1313.28
2025-01-30,M3,Product_A,Night,7.4,35.9,51.3,424.0,4,34.9,6.32,220.0,1378.84
2025-01-30,M2,Product_C,Night,4.4,31.2,54.3,509.0,5,37.6,7.03,234.3,2965.1
2025-02-01,M2,Product_A,Night,7.1,29.7,47.8,458.0,3,3.7,6.27,176.3,1331.13
2025-02-01,M1,Product_B,Night,9.5,23.7,45.2,506.0,1,27.3,5.72,226.6,2199.74
2025-02-02,M4,Product_B,Night,10.7,39.8,55.5,458.0,5,20.2,5.92,186.9,2065.36
2025-02-02,M5,Product_A,Evening,5.8,34.9,65.3,487.0,13,2.9,5.04,195.5,1734.21
2025-02-02,M4,Product_A,Morning,3.5,40.2,67.6,458.0,11,23.8,6.42,193.6,1333.98
2025-02-02,M4,Product_A,Evening,,26.6,62.0,486.0,9,10.4,5.4,223.3,1575.39
2025-02-02,M1,Product_A,Evening,16.7,39.6,69.5,455.0,5,0.0,4.71,235.9,1462.35
2025-02-02,M3,Product_C,Morning,10.4,,46.8,476.0,8,37.8,5.19,164.2,3005.21
2025-02-03,M2,Product_B,Morning,1.3,34.6,61.1,499.0,12,8.3,6.93,229.7,2337.63
2025-02-03,M5,Product_B,Night,0.8,26.5,57.3,416.0,8,19.6,6.4,194.8,1878.52
2025-02-04,M1,Product_A,Evening,3.7,35.8,78.3,459.0,14,5.9,7.33,225.9,1575.68
2025-02-04,M5,Product_B,Morning,5.5,21.8,53.2,447.0,10,36.5,5.56,204.9,2321.18
2025-02-04,M4,Product_A,Night,3.0,34.2,68.3,412.0,10,3.6,5.49,172.6,1530.43
2025-02-04,M4,Product_A,Morning,0.6,33.9,48.6,473.0,11,29.3,6.55,208.1,1399.34
2025-02-05,M4,Product_A,Morning,0.0,32.0,53.6,506.0,7,6.5,6.84,169.3,1486.62
2025-02-05,M1,Product_A,Evening,14.8,35.3,56.9,444.0,2,0.0,5.13,209.4,1301.28
2025-02-05,M5,Product_A,Night,10.8,24.5,56.3,471.0,1,0.0,6.56,175.5,1435.46
2025-02-06,M1,Product_C,Evening,12.2,30.1,52.4,506.0,6,0.0,6.44,266.8,2703.48
2025-02-06,M4,Product_A,Morning,12.1,34.3,48.6,520.0,1,0.0,6.36,245.5,1879.78
2025-02-06,M5,Product_A,Morning,6.5,32.8,40.9,519.0,3,53.5,6.34,182.2,1796.11
2025-02-07,M3,Product_B,Morning,0.2,23.1,57.6,464.0,5,15.4,6.3,192.1,1924.74
2025-02-07,M3,Product_B,Morning,3.4,30.2,40.4,453.0,1,4.2,5.75,197.7,2251.47
2025-02-07,M2,Product_A,Evening,10.0,27.9,47.0,459.0,1,17.4,5.48,125.4,1703.65
2025-02-08,M1,Product_A,Night,0.0,33.1,52.7,437.0,8,20.4,6.53,209.8,1439.41
2025-02-08,M3,Product_A,Morning,,19.4,45.3,493.0,2,8.2,5.76,249.0,1153.53
2025-02-08,M1,Product_C,Evening,2.0,33.9,48.1,478.0,6,25.2,7.37,181.8,2711.73
2025-02-08,M3,Product_B,Evening,11.3,33.3,54.5,503.0,3,5.2,4.96,240.7,2501.98
2025-02-09,M2,Product_B,Evening,5.3,23.7,59.2,432.0,3,28.2,6.22,151.6,1929.04
2025-02-10,M1,Product_C,Night,9.3,25.5,57.8,459.0,1,0.6,6.62,186.9,2986.9
2025-02-10,M5,Product_B,Morning,14.1,32.3,60.4,481.0,8,9.4,5.09,199.9,2407.49
2025-02-11,M5,Product_C,Morning,7.6,28.6,70.0,468.0,7,12.8,6.78,170.0,3032.27
2025-02-11,M2,Product_C,Evening,3.8,37.4,50.0,466.0,1,10.4,5.79,175.1,2625.13
2025-02-12,M4,Product_C,Morning,6.0,39.6,70.7,479.0,13,7.1,5.77,193.7,2915.77
2025-02-12,M2,Product_A,Evening,12.4,42.1,48.3,443.0,3,0.0,7.12,172.6,1310.88
2025-02-13,M1,Product_A,Night,7.6,38.3,47.6,474.0,1,18.9,5.81,221.6,1299.05
2025-02-13,M5,Product_C,Morning,12.9,29.8,75.1,467.0,7,20.3,5.95,184.9,2899.29
2025-02-13,M5,Product_A,Night,5.7,33.7,58.8,421.0,8,4.0,6.24,214.4,1500.75
2025-02-14,M4,Product_A,Evening,3.5,35.7,58.4,455.0,9,42.4,6.09,200.6,1394.1
2025-02-14,M1,Product_A,Evening,10.3,38.5,52.6,472.0,7,3.0,5.76,170.3,1466.9
2025-02-15,M4,Product_B,Night,9.9,35.5,43.8,,2,12.6,6.27,159.5,1813.71
2025-02-15,M2,Product_A,Evening,,,71.6,456.0,18,7.1,5.43,143.8,1485.62
2025-02-15,M3,Product_C,Evening,13.5,40.6,47.0,430.0,3,10.4,5.59,180.4,2396.79
2025-02-16,M3,Product_B,Morning,13.3,35.3,56.7,505.0,7,0.0,5.31,175.2,2462.25
2025-02-16,M2,Product_B,Evening,13.4,37.0,48.6,462.0,2,0.0,5.22,210.7,2043.65
2025-02-17,M3,Product_B,Morning,3.1,30.7,44.4,467.0,3,18.3,5.24,211.8,2130.54
2025-02-17,M3,Product_B,Evening,9.5,,68.1,475.0,1,29.2,6.38,179.5,2387.61
2025-02-17,M2,Product_A,Morning,5.7,26.4,68.5,461.0,9,36.2,7.43,258.8,1554.79
2025-02-17,M3,Product_B,Evening,9.7,32.0,79.3,,11,23.7,5.49,181.6,1922.2
2025-02-17,M5,Product_B,Morning,8.4,34.9,52.3,476.0,4,17.7,5.45,218.2,1806.26
2025-02-17,M5,Product_B,Morning,4.5,23.2,58.2,442.0,7,4.4,4.92,168.4,2279.19
2025-02-17,M1,Product_A,Night,10.4,,40.0,,6,14.2,6.36,166.9,1300.55
2025-02-18,M2,Product_A,Morning,10.6,36.1,45.0,512.0,1,17.3,6.6,205.5,1787.95
2025-02-18,M1,Product_B,Evening,12.1,33.9,70.6,501.0,10,22.5,5.83,211.3,2268.11
2025-02-18,M1,Product_B,Night,7.5,,45.3,402.0,1,0.0,5.35,180.0,1570.06
2025-02-19,M1,Product_B,Morning,10.8,35.5,48.0,487.0,2,16.7,5.8,174.6,2270.98
2025-02-19,M2,Product_B,Evening,4.7,32.5,58.2,427.0,6,1.6,5.74,148.5,2041.81
2025-02-20,M2,Product_C,Morning,13.9,31.7,56.5,467.0,2,4.2,5.45,189.5,2754.3
2025-02-20,M3,Product_C,Night,8.0,35.5,42.0,,2,17.1,6.88,208.6,2582.4
2025-02-20,M2,Product_B,Night,8.6,36.0,63.7,457.0,10,6.1,5.63,232.8,2136.82
2025-02-20,M3,Product_A,Morning,8.8,38.5,49.4,492.0,4,57.8,5.29,296.1,1411.61
2025-02-20,M2,Product_A,Evening,12.2,,46.9,451.0,1,4.8,6.4,212.3,1190.73
2025-02-21,M3,Product_A,Evening,9.9,37.3,56.3,523.0,10,0.0,5.51,194.5,1686.61
2025-02-21,M1,Product_B,Morning,,32.0,50.0,467.0,1,14.5,5.38,226.9,2122.34
2025-02-21,M2,Product_A,,9.5,39.3,51.1,488.0,5,28.5,7.0,209.0,1669.84
2025-02-21,M2,Product_C,Morning,7.7,30.5,57.6,458.0,2,0.0,5.98,164.9,2742.43
2025-02-22,M4,Product_A,Morning,8.6,33.7,65.8,475.0,8,5.8,5.29,227.4,1488.77
2025-02-22,M5,Product_A,Evening,11.5,40.0,61.9,456.0,8,14.6,5.7,189.0,1502.9
2025-02-22,M2,Product_B,Morning,15.8,41.4,44.8,473.0,4,14.2,5.27,184.0,2164.97
2025-02-22,M5,Product_B,Morning,7.5,40.8,59.4,,8,0.8,6.13,201.4,2271.6
2025-02-22,M5,Product_C,Morning,0.2,31.8,40.6,460.0,5,21.2,6.87,214.2,2673.94
2025-02-23,M1,Product_A,Evening,7.3,29.5,53.2,482.0,6,25.3,6.21,174.3,1283.79
2025-02-23,M3,Product_A,Evening,6.3,34.4,65.5,464.0,6,27.0,5.11,162.4,1187.48
2025-02-23,M2,Product_A,Evening,5.8,27.9,61.8,425.0,7,11.8,6.46,126.7,1430.08
2025-02-23,M3,Product_B,Evening,,29.5,45.7,475.0,4,9.3,6.83,172.0,1924.93
2025-02-23,M4,Product_C,Evening,16.5,32.6,58.2,483.0,6,0.4,5.54,223.7,2751.18
2025-02-23,M1,Product_B,Evening,7.9,39.3,61.9,457.0,11,37.3,6.62,137.2,2116.59
2025-02-23,M5,Product_A,Morning,5.1,35.3,52.3,483.0,3,21.9,5.21,208.3,1534.51
2025-02-24,M4,Product_B,Evening,1.7,33.3,39.6,479.0,4,16.1,6.53,199.9,2151.13
2025-02-24,M2,Product_A,Night,4.9,30.2,57.3,455.0,10,39.9,6.63,217.1,1221.82
2025-02-26,M1,Product_B,Morning,9.1,33.0,61.3,490.0,4,3.6,5.46,224.2,2086.53
2025-02-27,M3,Product_B,Night,8.0,35.8,51.4,443.0,3,48.5,6.14,241.5,1926.44
2025-02-27,M3,Product_B,,7.1,31.6,30.1,518.0,1,34.7,4.89,209.7,2412.79
2025-02-27,M1,Product_A,Night,5.2,33.0,49.3,441.0,7,30.7,6.82,194.8,1326.5
2025-02-27,M3,Product_B,Evening,9.0,28.1,69.4,447.0,3,15.8,4.72,207.6,1723.24
2025-02-27,M5,Product_A,Morning,2.2,37.3,66.1,492.0,18,10.5,6.27,186.5,1494.4
2025-02-27,M3,Product_B,Morning,4.1,,53.2,440.0,5,30.6,6.7,188.5,1845.48
2025-02-27,M4,Product_A,Morning,16.2,35.2,50.5,511.0,1,0.2,5.66,195.6,1664.72
2025-02-28,M3,Product_A,Evening,9.6,20.4,50.4,444.0,1,25.3,6.05,205.5,1301.31
2025-02-28,M4,Product_A,Morning,4.8,28.1,51.2,483.0,3,14.8,6.11,204.8,1659.21
2025-03-01,M2,Product_A,Evening,9.5,33.1,53.7,470.0,1,46.1,5.85,186.0,1968.22
2025-03-01,M1,Product_B,Morning,2.5,37.9,55.4,506.0,15,7.6,6.04,182.2,2321.36
2025-03-01,M3,Product_B,Night,7.0,34.9,53.8,456.0,1,7.4,6.4,189.5,1965.86
2025-03-01,M1,Product_C,Morning,11.1,29.8,58.2,,1,13.8,5.33,165.0,2747.13
2025-03-02,M1,Product_B,Evening,7.0,23.5,44.9,476.0,2,2.0,5.78,198.4,2239.84
2025-03-03,M1,Product_B,Morning,15.1,35.1,45.3,512.0,5,34.3,4.74,263.0,2252.17
2025-03-03,M5,Product_C,Morning,7.8,31.2,52.5,457.0,7,2.2,5.56,181.9,2671.82
2025-03-03,M2,Product_C,Night,3.9,32.5,74.8,458.0,8,65.3,6.87,208.6,2863.67
2025-03-03,M5,Product_C,Night,3.7,32.6,63.4,458.0,12,47.1,6.52,152.8,2633.0
2025-03-03,M2,Product_C,Night,10.0,22.6,44.1,454.0,1,11.7,5.24,234.4,2705.83
2025-03-04,M3,Product_B,Evening,8.3,33.1,32.6,441.0,1,0.0,5.72,193.3,2044.57
2025-03-04,M3,Product_B,Night,9.4,39.3,48.4,426.0,8,23.0,6.03,119.1,1611.52
2025-03-04,M5,Product_B,,4.8,33.7,39.8,450.0,7,19.4,6.45,226.2,1909.02
2025-03-04,M4,Product_A,Night,3.7,25.5,38.8,428.0,3,13.5,5.81,135.2,1270.39
2025-03-05,M5,Product_A,Morning,7.1,25.6,57.6,466.0,5,14.1,5.34,252.9,1493.89
2025-03-06,M4,Product_B,Morning,6.1,30.6,60.1,457.0,5,10.7,5.99,186.3,1972.92
2025-03-06,M2,Product_A,Evening,2.2,29.5,42.1,462.0,1,4.8,6.69,214.5,1056.19
2025-03-06,M2,Product_A,Morning,3.3,40.0,63.2,509.0,20,24.2,5.88,239.2,1638.34
2025-03-07,M4,Product_A,Morning,12.1,28.6,60.0,475.0,2,51.4,5.32,233.3,1692.15
2025-03-07,M1,Product_B,Morning,7.6,41.5,55.0,498.0,5,8.8,5.59,255.9,2049.62
2025-03-08,M2,Product_A,Morning,12.9,31.8,68.3,506.0,5,11.5,5.26,250.2,1765.51
2025-03-08,M4,Product_A,Evening,10.3,30.0,54.6,464.0,3,8.3,4.65,197.9,1235.24
2025-03-08,M3,Product_B,Morning,6.9,42.1,42.4,443.0,6,1.9,6.66,215.7,1840.51
2025-03-09,M5,Product_A,Night,10.7,37.3,60.1,469.0,10,30.7,6.71,204.0,1808.19
2025-03-09,M3,Product_C,Evening,13.5,40.6,58.7,472.0,9,5.0,4.4,218.9,2550.19
2025-03-10,M4,Product_A,Morning,0.0,30.7,59.3,451.0,6,37.5,6.28,205.9,1598.42
2025-03-10,M4,Product_A,Night,6.8,32.7,48.3,452.0,1,11.9,5.38,187.2,1481.49
2025-03-10,M2,Product_B,,12.5,40.3,77.6,443.0,10,6.8,5.26,209.6,1942.09
2025-03-10,M2,Product_A,,12.7,30.5,48.5,482.0,1,20.8,6.06,188.2,2006.41
2025-03-10,M1,Product_B,Morning,10.0,38.5,51.1,492.0,8,33.4,6.42,207.9,2058.29
2025-03-11,M4,Product_A,Evening,9.7,37.5,51.1,437.0,5,63.2,5.42,201.8,1463.76
2025-03-11,M1,Product_A,Morning,2.9,44.8,62.3,497.0,16,31.1,6.82,241.6,1732.03
2025-03-12,M4,Product_B,Morning,5.4,23.7,26.6,483.0,1,19.2,5.8,208.2,1926.39
2025-03-12,M2,Product_C,Morning,9.8,25.1,57.3,505.0,1,14.1,5.16,242.7,2874.17
2025-03-13,M1,Product_B,Evening,2.9,41.4,74.5,418.0,15,22.5,6.59,132.3,1844.11
2025-03-13,M2,Product_C,Night,8.2,24.4,60.5,445.0,1,10.9,6.73,206.0,2704.5
2025-03-14,M5,Product_B,Morning,5.4,28.4,62.8,492.0,4,10.4,6.08,192.7,2426.56
2025-03-15,M2,Product_A,Night,10.2,30.1,66.2,493.0,8,21.7,5.38,216.4,1747.08
2025-03-16,M4,Product_C,Evening,12.9,32.5,53.4,463.0,7,1.8,5.81,239.4,2816.76
2025-03-16,M2,Product_B,Evening,8.6,36.0,50.7,435.0,6,3.4,5.93,193.6,2033.87
2025-03-16,M5,Product_B,Night,6.4,33.8,67.9,467.0,8,11.2,5.47,223.6,2104.42
2025-03-16,M1,Product_B,Morning,6.4,27.9,74.7,494.0,10,38.3,6.04,189.0,2164.56
2025-03-17,M1,Product_C,Evening,1.1,28.5,51.7,525.0,4,1.4,5.58,217.1,3275.94
2025-03-21,M3,Product_B,Morning,6.6,27.6,66.2,451.0,8,10.6,5.68,190.7,2011.03
2025-03-22,M4,Product_C,Morning,1.5,32.7,61.8,451.0,13,22.5,7.37,174.4,2717.48
2025-03-22,M3,Product_A,Night,1.3,33.7,56.7,427.0,13,24.4,6.99,203.7,1450.5
2025-03-22,M2,Product_C,Evening,11.2,27.6,68.0,476.0,5,9.0,5.0,184.1,2796.57
2025-03-22,M1,Product_A,Night,8.1,35.5,47.4,469.0,6,0.0,6.1,172.5,1609.26
2025-03-23,M4,Product_C,Morning,7.3,42.7,47.0,,8,9.9,5.6,242.0,3170.87
2025-03-23,M1,Product_A,Evening,9.0,23.0,50.3,463.0,1,0.0,7.41,209.6,1443.5
2025-03-23,M1,Product_B,,3.0,35.2,54.4,375.0,3,23.8,5.88,124.0,1671.38
2025-03-25,M2,Product_A,Morning,5.1,28.1,50.0,520.0,3,19.3,5.74,233.6,1741.58
2025-03-25,M4,Product_A,Evening,2.5,31.5,59.5,398.0,8,71.5,6.05,174.4,1259.51
2025-03-25,M3,Product_B,Evening,7.9,37.6,51.4,486.0,8,0.0,4.95,220.5,2107.04
2025-03-25,M2,Product_A,Morning,4.3,35.3,71.6,451.0,11,15.4,6.21,188.4,1521.3
2025-03-26,M5,Product_C,Morning,4.9,30.7,48.8,466.0,2,19.2,6.56,237.1,2696.73
2025-03-27,M5,Product_B,Evening,4.3,38.7,49.9,483.0,8,10.4,5.85,155.8,2125.26
2025-03-27,M1,Product_A,Morning,10.5,35.7,47.3,520.0,5,8.2,5.46,195.4,1909.2
2025-03-27,M2,Product_A,Night,6.6,33.0,64.2,473.0,8,18.1,5.36,190.7,1373.94
2025-03-27,M2,Product_C,,7.9,29.6,58.1,473.0,7,2.6,5.2,185.1,3085.2
2025-03-27,M5,Product_B,Evening,0.6,35.6,54.7,461.0,12,63.0,6.74,175.1,2064.89
2025-03-28,M2,Product_C,Night,6.7,28.7,46.7,399.0,1,11.4,5.63,165.6,2342.64
2025-03-29,M1,Product_B,Night,4.2,30.9,46.8,432.0,1,19.0,5.58,161.2,1963.75
2025-03-29,M1,Product_B,Morning,5.5,32.3,62.5,483.0,9,6.0,6.06,206.8,2280.94
2025-03-29,M1,Product_B,Morning,,43.4,48.6,467.0,13,45.4,6.51,193.4,1799.27
2025-03-30,M3,Product_B,Evening,4.8,39.6,55.3,502.0,11,91.8,6.62,230.1,2235.83
2025-03-30,M2,Product_C,Morning,11.1,31.3,57.7,489.0,6,6.7,5.71,241.6,3069.86
2025-03-30,M3,Product_A,Evening,6.7,29.4,50.9,459.0,3,11.4,6.47,212.5,1333.14
2025-03-30,M5,Product_B,Evening,12.0,36.8,63.4,472.0,7,13.4,5.27,183.9,2324.29
2025-03-31,M3,Product_C,Morning,6.6,35.6,63.6,480.0,5,5.3,7.63,159.4,2715.48
2025-03-31,M4,Product_C,Evening,4.2,28.3,76.0,508.0,14,9.2,5.93,212.6,3145.5
2025-03-31,M5,Product_C,Morning,6.1,28.5,60.3,472.0,2,20.9,5.83,140.6,2661.12
2025-03-31,M3,Product_B,Evening,5.1,32.4,69.4,422.0,7,8.8,5.96,178.2,1899.69
2025-03-31,M1,Product_B,Evening,7.3,29.0,63.9,477.0,6,46.5,5.59,165.6,2301.43
2025-03-31,M1,Product_A,Evening,2.8,,69.0,450.0,14,11.6,7.35,204.5,1384.19
2025-03-31,M2,Product_A,Morning,3.8,29.2,55.7,501.0,9,41.5,6.51,166.1,1599.69
2025-04-02,M5,Product_A,Morning,6.8,39.5,59.3,436.0,10,5.9,6.53,188.0,1378.12
2025-04-02,M3,Product_A,Morning,9.9,32.8,45.3,468.0,3,25.9,6.9,115.4,1645.79
2025-04-02,M4,Product_A,Morning,7.7,31.1,53.6,485.0,5,12.7,5.6,165.0,1641.2
2025-04-02,M2,Product_A,Morning,6.2,34.1,61.6,458.0,7,9.8,7.51,189.7,1440.45
2025-04-03,M1,Product_A,Morning,9.1,34.7,37.2,468.0,1,10.3,6.06,229.8,1564.92
2025-04-03,M4,Product_B,Morning,10.0,36.5,54.7,435.0,1,42.9,5.72,209.3,1904.41
2025-04-03,M2,Product_A,Morning,13.3,39.8,63.3,474.0,11,23.9,5.16,178.0,1516.79
2025-04-03,M1,Product_C,Night,4.7,33.6,49.4,415.0,6,16.7,6.03,182.1,2710.65
2025-04-03,M3,Product_C,Morning,0.7,25.8,39.1,468.0,1,18.2,5.56,202.9,2868.34
