id,table_speed,down_feed_rate,wheel_grit_size,strength
115,Fast,Low,140/170,622.506
116,Fast,Low,140/170,663.622
117,Fast,Low,140/170,628.336
118,Fast,Low,140/170,684.181
119,Fast,Low,140/170,587.145
120,Fast,Low,80/100,629.012
121,Fast,Low,80/100,584.319
122,Fast,Low,80/100,640.193
123,Fast,Low,80/100,538.239
124,Fast,Low,80/100,644.156
125,Fast,Low,80/100,538.097
126,Fast,Low,80/100,642.469
127,Fast,Low,80/100,595.686
128,Fast,Low,80/100,639.09
129,Fast,Low,80/100,648.935
130,Fast,Low,80/100,439.418
131,Fast,Low,80/100,583.827
132,Fast,Low,80/100,614.664
133,Fast,Low,80/100,534.905
134,Fast,Low,80/100,537.161
135,Fast,Low,80/100,569.858
136,Fast,Low,80/100,656.773
137,Fast,Low,80/100,617.246
138,Fast,Low,80/100,659.534
139,Fast,Low,80/100,610.337
140,Fast,Low,80/100,695.278
141,Fast,Low,80/100,584.192
142,Fast,Low,80/100,734.04
143,Fast,Low,80/100,598.853
144,Fast,Low,80/100,687.665
145,Fast,Low,80/100,554.774
146,Fast,Low,80/100,710.858
147,Fast,Low,80/100,605.694
148,Fast,Low,80/100,701.716
149,Fast,Low,80/100,627.516
150,Fast,High,140/170,382.133
151,Fast,High,140/170,574.522
152,Fast,High,140/170,719.744
153,Fast,High,140/170,582.682
154,Fast,High,140/170,756.82
155,Fast,High,140/170,563.872
156,Fast,High,140/170,690.978
157,Fast,High,140/170,715.962
158,Fast,High,140/170,670.864
159,Fast,High,140/170,616.43
160,Fast,High,140/170,670.308
161,Fast,High,140/170,778.011
162,Fast,High,140/170,660.062
163,Fast,High,140/170,604.255
164,Fast,High,140/170,790.382
165,Fast,High,140/170,571.906
166,Fast,High,140/170,714.75
167,Fast,High,140/170,625.925
168,Fast,High,140/170,716.959
169,Fast,High,140/170,682.426
170,Fast,High,140/170,603.363
171,Fast,High,140/170,707.604
172,Fast,High,140/170,713.796
173,Fast,High,140/170,617.4
174,Fast,High,140/170,444.963
175,Fast,High,140/170,689.576
176,Fast,High,140/170,723.276
177,Fast,High,140/170,676.678
178,Fast,High,140/170,745.527
179,Fast,High,140/170,563.29
180,Slow,Low,80/100,778.333
181,Slow,Low,80/100,581.879
182,Slow,Low,80/100,723.349
183,Slow,Low,80/100,447.701
184,Slow,Low,80/100,708.229
185,Slow,Low,80/100,557.772
186,Slow,Low,80/100,681.667
187,Slow,Low,80/100,593.537
188,Slow,Low,80/100,566.085
189,Slow,Low,80/100,632.585
190,Slow,Low,80/100,687.448
191,Slow,Low,80/100,671.35
192,Slow,Low,80/100,597.5
193,Slow,Low,80/100,569.53
194,Slow,Low,80/100,637.41
195,Slow,Low,80/100,581.667
196,Slow,Low,80/100,755.864
197,Slow,Low,80/100,643.449
198,Slow,Low,80/100,692.945
199,Slow,Low,80/100,581.593
200,Slow,Low,80/100,766.532
201,Slow,Low,80/100,494.122
202,Slow,Low,80/100,725.663
203,Slow,Low,80/100,620.948
204,Slow,Low,80/100,698.818
205,Slow,Low,80/100,615.903
206,Slow,Low,80/100,760.0
207,Slow,Low,80/100,606.667
208,Slow,Low,80/100,775.272
209,Slow,Low,80/100,579.167
210,Slow,High,140/170,708.885
211,Slow,High,140/170,662.51
212,Slow,High,140/170,727.201
213,Slow,High,140/170,436.237
214,Slow,High,140/170,642.56
215,Slow,High,140/170,644.223
216,Slow,High,140/170,690.773
217,Slow,High,140/170,586.035
218,Slow,High,140/170,688.333
219,Slow,High,140/170,620.833
220,Slow,High,140/170,743.973
221,Slow,High,140/170,652.535
222,Slow,High,140/170,682.461
223,Slow,High,140/170,593.516
224,Slow,High,140/170,761.43
225,Slow,High,140/170,587.451
226,Slow,High,140/170,691.542
227,Slow,High,140/170,570.964
228,Slow,High,140/170,643.392
229,Slow,High,140/170,645.192
230,Slow,High,140/170,697.075
231,Slow,High,140/170,540.079
232,Slow,High,140/170,708.229
233,Slow,High,140/170,707.117
234,Slow,High,140/170,746.467
235,Slow,High,140/170,621.779
236,Slow,High,140/170,744.819
237,Slow,High,140/170,585.777
238,Slow,High,140/170,655.029
239,Slow,High,140/170,703.98
240,Slow,Low,140/170,715.224
241,Slow,Low,140/170,698.237
242,Slow,Low,140/170,614.417
243,Slow,Low,140/170,757.12
244,Slow,Low,140/170,761.363
245,Slow,Low,140/170,621.751
246,Slow,Low,140/170,716.106
247,Slow,Low,140/170,472.125
248,Slow,Low,140/170,659.502
249,Slow,Low,140/170,612.7
250,Slow,Low,140/170,730.781
251,Slow,Low,140/170,583.17
252,Slow,Low,140/170,546.928
253,Slow,Low,140/170,599.771
254,Slow,Low,140/170,734.203
255,Slow,Low,140/170,549.227
256,Slow,Low,140/170,682.051
257,Slow,Low,140/170,605.453
258,Slow,Low,140/170,701.341
259,Slow,Low,140/170,569.599
260,Slow,Low,140/170,759.729
261,Slow,Low,140/170,637.233
262,Slow,Low,140/170,689.942
263,Slow,Low,140/170,621.774
264,Slow,Low,140/170,769.424
265,Slow,Low,140/170,558.041
266,Slow,Low,140/170,715.286
267,Slow,Low,140/170,583.17
268,Slow,Low,140/170,776.197
269,Slow,Low,140/170,345.294
270,Fast,Low,80/100,547.099
271,Fast,Low,80/100,570.999
272,Fast,Low,80/100,619.942
273,Fast,Low,80/100,603.232
274,Fast,Low,80/100,696.046
275,Fast,Low,80/100,595.335
276,Fast,Low,80/100,573.109
277,Fast,Low,80/100,581.047
278,Fast,Low,80/100,638.794
279,Fast,Low,80/100,455.878
280,Fast,Low,80/100,708.193
281,Fast,Low,80/100,627.88
282,Fast,Low,80/100,502.825
283,Fast,Low,80/100,464.085
284,Fast,Low,80/100,632.633
285,Fast,Low,80/100,596.129
286,Fast,Low,80/100,683.382
287,Fast,Low,80/100,640.371
288,Fast,Low,80/100,684.812
289,Fast,Low,80/100,621.471
290,Fast,Low,80/100,738.161
291,Fast,Low,80/100,612.727
292,Fast,Low,80/100,671.492
293,Fast,Low,80/100,606.46
294,Fast,Low,80/100,709.771
295,Fast,Low,80/100,571.76
296,Fast,Low,80/100,685.199
297,Fast,Low,80/100,599.304
298,Fast,Low,80/100,624.973
299,Fast,Low,80/100,579.459
300,Fast,High,80/100,757.363
301,Fast,High,80/100,761.511
302,Fast,High,80/100,633.417
303,Fast,High,80/100,566.969
304,Fast,High,80/100,658.754
305,Fast,High,80/100,654.397
306,Fast,High,80/100,664.666
307,Fast,High,80/100,611.719
308,Fast,High,80/100,663.009
309,Fast,High,80/100,577.409
310,Fast,High,80/100,773.226
311,Fast,High,80/100,576.731
312,Fast,High,80/100,708.261
313,Fast,High,80/100,617.441
314,Fast,High,80/100,739.086
315,Fast,High,80/100,577.409
316,Fast,High,80/100,667.786
317,Fast,High,80/100,548.957
318,Fast,High,80/100,674.481
319,Fast,High,80/100,623.315
320,Fast,High,80/100,695.688
321,Fast,High,80/100,621.761
322,Fast,High,80/100,588.288
323,Fast,High,80/100,553.978
324,Fast,High,80/100,545.61
325,Fast,High,80/100,657.157
326,Fast,High,80/100,752.305
327,Fast,High,80/100,610.882
328,Fast,High,80/100,684.523
329,Fast,High,80/100,552.304
330,Slow,High,140/170,717.159
331,Slow,High,140/170,545.303
332,Slow,High,140/170,721.343
333,Slow,High,140/170,651.934
334,Slow,High,140/170,750.623
335,Slow,High,140/170,635.24
336,Slow,High,140/170,776.488
337,Slow,High,140/170,641.083
338,Slow,High,140/170,750.623
339,Slow,High,140/170,645.321
340,Slow,High,140/170,600.84
341,Slow,High,140/170,566.127
342,Slow,High,140/170,686.196
343,Slow,High,140/170,647.844
344,Slow,High,140/170,687.87
345,Slow,High,140/170,554.815
346,Slow,High,140/170,725.527
347,Slow,High,140/170,620.087
348,Slow,High,140/170,658.796
349,Slow,High,140/170,711.301
350,Slow,High,140/170,690.38
351,Slow,High,140/170,644.355
352,Slow,High,140/170,737.144
353,Slow,High,140/170,713.812
354,Slow,High,140/170,663.851
355,Slow,High,140/170,696.707
356,Slow,High,140/170,766.63
357,Slow,High,140/170,589.453
358,Slow,High,140/170,625.922
359,Slow,High,140/170,634.468
360,Fast,High,140/170,694.43
361,Fast,High,140/170,599.751
362,Fast,High,140/170,730.217
363,Fast,High,140/170,624.542
364,Fast,High,140/170,700.77
365,Fast,High,140/170,723.505
366,Fast,High,140/170,722.242
367,Fast,High,140/170,674.717
368,Fast,High,140/170,763.828
369,Fast,High,140/170,608.539
370,Fast,High,140/170,695.668
371,Fast,High,140/170,612.135
372,Fast,High,140/170,688.887
373,Fast,High,140/170,591.935
374,Fast,High,140/170,531.021
375,Fast,High,140/170,676.656
376,Fast,High,140/170,698.915
377,Fast,High,140/170,647.323
378,Fast,High,140/170,735.905
379,Fast,High,140/170,811.97
380,Fast,High,140/170,732.039
381,Fast,High,140/170,603.883
382,Fast,High,140/170,751.832
383,Fast,High,140/170,608.643
384,Fast,High,140/170,618.663
385,Fast,High,140/170,630.778
386,Fast,High,140/170,744.845
387,Fast,High,140/170,623.063
388,Fast,High,140/170,690.826
389,Fast,High,140/170,472.463
390,Slow,High,80/100,666.893
391,Slow,High,80/100,645.932
392,Slow,High,80/100,759.86
393,Slow,High,80/100,577.176
394,Slow,High,80/100,683.752
395,Slow,High,80/100,567.53
396,Slow,High,80/100,729.591
397,Slow,High,80/100,821.654
398,Slow,High,80/100,730.706
399,Slow,High,80/100,684.49
400,Slow,High,80/100,763.124
401,Slow,High,80/100,600.427
402,Slow,High,80/100,724.193
403,Slow,High,80/100,686.023
404,Slow,High,80/100,630.352
405,Slow,High,80/100,628.109
406,Slow,High,80/100,750.338
407,Slow,High,80/100,605.214
408,Slow,High,80/100,752.417
409,Slow,High,80/100,640.26
410,Slow,High,80/100,707.899
411,Slow,High,80/100,700.767
412,Slow,High,80/100,715.582
413,Slow,High,80/100,665.924
414,Slow,High,80/100,728.746
415,Slow,High,80/100,555.926
416,Slow,High,80/100,591.193
417,Slow,High,80/100,543.299
418,Slow,High,80/100,592.252
419,Slow,High,80/100,511.03
420,Slow,Low,80/100,740.833
421,Slow,Low,80/100,583.994
422,Slow,Low,80/100,786.367
423,Slow,Low,80/100,611.048
424,Slow,Low,80/100,712.386
425,Slow,Low,80/100,623.338
426,Slow,Low,80/100,738.333
427,Slow,Low,80/100,679.585
428,Slow,Low,80/100,741.48
429,Slow,Low,80/100,665.004
430,Slow,Low,80/100,729.167
431,Slow,Low,80/100,655.86
432,Slow,Low,80/100,795.833
433,Slow,Low,80/100,715.711
434,Slow,Low,80/100,723.502
435,Slow,Low,80/100,611.999
436,Slow,Low,80/100,718.333
437,Slow,Low,80/100,577.722
438,Slow,Low,80/100,768.08
439,Slow,Low,80/100,615.129
440,Slow,Low,80/100,747.5
441,Slow,Low,80/100,540.316
442,Slow,Low,80/100,775.0
443,Slow,Low,80/100,711.667
444,Slow,Low,80/100,760.599
445,Slow,Low,80/100,639.167
446,Slow,Low,80/100,758.333
447,Slow,Low,80/100,549.491
448,Slow,Low,80/100,682.5
449,Slow,Low,80/100,684.167
450,Fast,Low,140/170,658.116
451,Fast,Low,140/170,672.153
452,Fast,Low,140/170,738.213
453,Fast,Low,140/170,594.534
454,Fast,Low,140/170,681.236
455,Fast,Low,140/170,627.65
456,Fast,Low,140/170,704.904
457,Fast,Low,140/170,551.87
458,Fast,Low,140/170,693.623
459,Fast,Low,140/170,594.534
460,Fast,Low,140/170,624.993
461,Fast,Low,140/170,602.66
462,Fast,Low,140/170,700.228
463,Fast,Low,140/170,585.45
464,Fast,Low,140/170,611.874
465,Fast,Low,140/170,555.724
466,Fast,Low,140/170,579.167
467,Fast,Low,140/170,574.934
468,Fast,Low,140/170,720.872
469,Fast,Low,140/170,584.625
470,Fast,Low,140/170,690.32
471,Fast,Low,140/170,555.724
472,Fast,Low,140/170,677.933
473,Fast,Low,140/170,611.874
474,Fast,Low,140/170,674.6
475,Fast,Low,140/170,698.254
476,Fast,Low,140/170,611.999
477,Fast,Low,140/170,748.13
478,Fast,Low,140/170,530.68
479,Fast,Low,140/170,689.942
